address,city,hrsFri,hrsMon,hrsSat,hrsSun,hrsThu,hrsTue,hrsWed,inventoryStatus,isEligibleForDelivery,isEligibleForPickup,isEligibleForShipToHome,isSellable,latitude,longitude,phoneNumber,productQTY,state,storeNumber,storeServiceBitmap,storeType,zipCode
"11276 Vienna Rd","Montrose",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.17674,-83.903068,8108180100,0,"MI",10194,1083490,1,48457-9702
"17080 Lincoln Rd","New Lothrop",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.17438,-83.98914,8106055773,0,"MI",23080,32832,1,48460-9621
"2187 W Vienna Rd","Clio",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,43.176269,-83.721698,8105474152,0,"MI",9635,32802,1,48420-1757
"355 E Ohmer Rd","Mayville",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,43.3383,-83.3476,9896602111,0,"MI",17547,34882,1,48744
"5630 Otter Lake Rd","Otter Lake",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.216,-83.454,8105109672,0,"MI",23018,32832,1,48464
"292 S State Rd","Otisville",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.1638,-83.525,8103747194,0,"MI",17581,34914,1,48463-8421
"11925 N. Saginaw","Mount Morris",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.121098,-83.695043,8105476239,0,"MI",13748,34914,1,48458-1530
"8068 N Clio Rd","Mount Morris",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.12049,-83.73385,8105474610,0,"MI",21917,34882,1,48458-8245
"9040 W Mount Morris Rd","Flushing",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,43.118,-83.8544,8108670125,0,"MI",16867,1083490,1,48433-9243
"1308 Frankfort Hwy","Frankfort",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,44.633834,-86.21436,2313992727,0,"MI",16404,32866,1,49635-9493
"17169 Pleasanton Hwy","Bear Lake",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.49131,-86.10903,2313790350,0,"MI",24436,32832,1,49614-9558
"14940 Lincoln Ave","Thompsonville",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.52081,-85.94071,2317746207,0,"MI",24162,32832,1,49683-9111
"18969 Cadillac Hwy","Copemish",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,44.474519,-85.91973,2312533300,0,"MI",12652,34914,1,49625-9758
"11802 Chippewa Highway","Bear Lake",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,44.414423,-86.152045,2316555731,0,"MI",6632,1083490,1,49614-0147
"14128 9 Mile Rd","Kaleva",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.3703,-86.0149,2317690625,0,"MI",19959,32866,1,49645-9701
"511 Wexford Ave","Buckley",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,44.503867,-85.687271,6162740385,0,"MI",12547,1083490,1,49620-9558
"6430 W M 115","Mesick",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.406205,-85.707593,2312533102,0,"MI",20152,1081442,1,49668-9533
"65 Division St","Manistee",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,44.247751,-86.319027,2312990497,0,"MI",6328,2,1,49660-2725
"16861 Caberfae Hwy","Wellston",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.224861,-85.964181,2315776016,0,"MI",12354,1081442,1,49689-9311
"5545 W 10 1/2 Mile Rd","Irons",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.1402,-85.9139,2319424333,0,"MI",20193,32866,1,49644-9160
"107 E 7th St","Manton",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.404034,-85.397825,7342631043,0,"MI",18156,1081442,1,49663-9429
"5885 N Us Hwy 131","Manton",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,44.4237,-85.4004,2314750355,0,"MI",25881,1081344,1,49663
"136 N Main Street","Concord",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.1788,-84.6458,3138166593,0,"MI",17068,1083490,1,49237-9647
"110 S Eaton St","Albion",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,42.244893,-84.756711,5178794569,0,"MI",6143,1083490,1,49224-1623
"1450 N Eaton St","Albion",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.2601,-84.7562,5178034885,0,"MI",7521,34914,1,49224-9470
"488 N Clark St","Albion",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.2485,-84.7364,5176804646,0,"MI",25993,1081344,1,49224
"7416 Moscow Rd","Horton",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.1547,-84.5192,5175393510,0,"MI",18043,1083490,1,49246-9302
"8031 East Main St","Spring Arbor",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,42.206903,-84.543052,5173178326,0,"MI",12490,34914,1,49283
"12831 Chicago Rd","Somerset Center",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,42.048965,-84.404611,7344126743,0,"MI",12356,1083490,1,49282
"2104 N Parma Rd","Parma",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,42.262,-84.5999,6162560499,0,"MI",11128,1081442,1,49269-9562
"205 S Steer St","Addison",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,41.984,-84.3507,6163330285,0,"MI",20587,32866,1,49220
